GEOID10,Name,US County,Households,Poverty Households #,Poverty Households %,ALICE Households #,ALICE Households %,Above ALICE Households #,Above ALICE Households %
33701,33701,Pinellas,"8,607","1,824",21.2,"3,148",36.6,"3,635",42.2
33702,33702,Pinellas,"12,868","1,471",11.4,"4,030",31.3,"7,367",57.3
33703,33703,Pinellas,"10,269",922,9,"2,363",23,"6,984",68
33704,33704,Pinellas,"7,296",598,8.2,"1,818",24.9,"4,880",66.9
33705,33705,Pinellas,"10,698","2,282",21.3,"3,226",30.2,"5,190",48.5
33706,33706,Pinellas,"8,455",736,8.7,"2,144",25.4,"5,575",65.9
33707,33707,Pinellas,"12,486","1,697",13.6,"4,206",33.7,"6,583",52.7
33708,33708,Pinellas,"8,658",869,10,"2,358",27.2,"5,431",62.7
33709,33709,Pinellas,"11,454","1,951",17,"4,358",38,"5,145",44.9
33710,33710,Pinellas,"13,584","1,521",11.2,"3,639",26.8,"8,424",62
33711,33711,Pinellas,"7,061","1,597",22.6,"2,335",33.1,"3,129",44.3
33712,33712,Pinellas,"9,629","1,962",20.4,"3,317",34.4,"4,350",45.2
33713,33713,Pinellas,"12,305","1,933",15.7,"3,595",29.2,"6,777",55.1
33714,33714,Pinellas,"8,024","2,184",27.2,"2,970",37,"2,870",35.8
33715,33715,Pinellas,"3,807",276,7.2,662,17.4,"2,869",75.4
33716,33716,Pinellas,"8,704","1,165",13.4,"2,640",30.3,"4,899",56.3
33755,33755,Pinellas,"9,186","1,984",21.6,"2,996",32.6,"4,206",45.8
33756,33756,Pinellas,"12,784","2,440",19.1,"4,306",33.7,"6,038",47.2
33759,33759,Pinellas,"7,576","1,066",14.1,"2,434",32.1,"4,076",53.8
33760,33760,Pinellas,"6,450","1,104",17.1,"2,105",32.6,"3,241",50.2
33761,33761,Pinellas,"8,839",565,6.4,"2,781",31.5,"5,493",62.1
33762,33762,Pinellas,"2,666",159,6,597,22.4,"1,910",71.6
33763,33763,Pinellas,"8,727","1,241",14.2,"2,942",33.7,"4,544",52.1
33764,33764,Pinellas,"11,426","1,061",9.3,"3,271",28.6,"7,094",62.1
33765,33765,Pinellas,"6,006",759,12.6,"2,504",41.7,"2,743",45.7
33767,33767,Pinellas,"4,356",514,11.8,822,18.9,"3,020",69.3
33770,33770,Pinellas,"11,752","1,767",15,"4,214",35.9,"5,771",49.1
33771,33771,Pinellas,"13,633","2,150",15.8,"5,663",41.5,"5,820",42.7
33772,33772,Pinellas,"10,193","1,206",11.8,"3,363",33,"5,624",55.2
33773,33773,Pinellas,"7,196",927,12.9,"2,281",31.7,"3,988",55.4
33774,33774,Pinellas,"8,138","1,007",12.4,"2,558",31.4,"4,573",56.2
33776,33776,Pinellas,"4,951",137,2.8,"1,192",24.1,"3,622",73.2
33777,33777,Pinellas,"6,868","1,155",16.8,"1,859",27.1,"3,854",56.1
33778,33778,Pinellas,"5,996",765,12.8,"2,104",35.1,"3,127",52.2
33781,33781,Pinellas,"10,311","2,006",19.5,"3,651",35.4,"4,654",45.1
33782,33782,Pinellas,"9,537","1,018",10.7,"3,287",34.5,"5,232",54.9
33785,33785,Pinellas,"3,054",222,7.3,800,26.2,"2,032",66.5
33786,33786,Pinellas,771,48,6.2,140,18.2,583,75.6
34677,34677,Pinellas,"8,454",711,8.4,"1,963",23.2,"5,780",68.4
34681,34681,Pinellas,368,33,9,63,17.1,272,73.9
34683,34683,Pinellas,"13,074","1,103",8.4,"3,150",24.1,"8,821",67.5
34684,34684,Pinellas,"13,312","1,229",9.2,"4,227",31.8,"7,856",59
34685,34685,Pinellas,"7,110",372,5.2,"1,478",20.8,"5,260",74
34688,34688,Pinellas,"2,945",275,9.3,522,17.7,"2,148",72.9
34689,34689,Pinellas,"11,174","1,673",15,"3,471",31.1,"6,030",54
34695,34695,Pinellas,"7,419",685,9.2,"1,911",25.8,"4,823",65
34698,34698,Pinellas,"17,611","1,748",9.9,"6,256",35.5,"9,607",54.6
